Time,john,thomas,vaidy
00:12:23, 41, 75, 61
00:12:24, 43, 74, 75
00:12:25, 43, 66, 74
00:12:26, 57, 63, 78
00:12:27, 47, 67, 90
00:12:28, 41, 78, 67
00:12:29, 51, 87, 64
00:12:30, 37, 91, 57
00:12:31, 48, 87, 43
00:12:32, 63, 84, 37
00:12:33, 48, 81, 37
00:12:34, 47, 67, 38
00:12:35, 35, 83, 43
00:12:36, 23, 77, 53
00:12:37, 43, 61, 57
00:12:38, 51, 75, 51
00:12:39, 50, 53, 54
00:12:40, 50, 51, 69
00:12:41, 17, 57, 67
00:12:42, 27, 56, 70
00:12:43, 44, 64, 60
00:12:44, 57, 64, 48
00:12:45, 78, 69, 47
00:12:46, 66, 74, 60
00:12:47, 61, 75, 74
00:12:48, 53, 69, 83
00:12:49, 43, 69, 93
00:12:50, 43, 69, 94
00:12:51, 41, 66, 87
00:12:52, 44, 61, 88
00:12:53, 44, 70, 69
00:12:54, 47, 70, 69
00:12:55, 30, 53, 67
00:12:56, 30, 60, 51
00:12:57, 47, 38, 40
00:12:58, 40, 43, 24
00:12:59, 54, 53, 24
00:13:00, 44, 44, 29
00:13:01, 30, 54, 54
00:13:02, 27, 29, 41
00:13:03, 29, 35, 43
00:13:04, 37, 37, 37
00:13:05, 20, 35, 30
00:13:06, 26, 41, 44
00:13:07, 20, 43, 53
00:13:08, 24, 40, 66
00:13:09, 50, 35, 77
00:13:10, 47, 41, 78
00:13:11, 51, 41, 75
00:13:12, 48, 60, 63
00:13:13, 38, 70, 64
00:13:14, 40, 57, 63
00:13:15, 38, 63, 53
00:13:16, 26, 51, 63
00:13:17, 30, 50, 35
00:13:18, 29, 66, 43
00:13:19, 30, 57, 53
00:13:20, 37, 69, 40
00:13:21, 24, 51, 60
00:13:21, 29, 50, 47
00:13:23, 29, 48, 63
00:13:23, 29, 35, 77
00:13:24, 43, 30, 87
00:13:25, 47, 24, 100
00:13:26, 43, 26, 80
00:13:27, 43, 38, 70
00:13:28, 41, 51, 63
00:13:29, 35, 66, 56
00:13:30, 41, 63, 80
00:13:31, 38, 54, 93
00:13:32, 24, 51, 100
00:13:33, 37, 54, 90
00:13:34, 41, 61, 67
00:13:35, 54, 66, 60
00:13:36, 64, 69, 51
00:13:37, 56, 53, 56
00:13:38, 41, 53, 64
00:13:39, 27, 53, 67
00:13:40, 27, 47, 75
00:13:41, 20, 48, 75
00:13:42, 23, 56, 67
00:13:43, 38, 61, 74
00:13:44, 41, 69, 70
00:13:45, 56, 64, 78
00:13:46, 63, 54, 88
00:13:47, 61, 50, 74
00:13:48, 41, 56, 63
00:13:49, 37, 70, 54
00:13:50, 23, 75, 38
00:13:51, 24, 64, 38
00:13:52, 47, 60, 34
00:13:53, 50, 51, 24
00:13:54, 56, 34, 37
00:13:55, 47, 41, 50
00:13:56, 44, 37, 54
00:13:57, 26, 35, 60
00:13:58, 20, 44, 44
00:13:59, 27, 41, 17
00:14:00, 17, 48, 35
00:14:01, 30, 64, 35
00:14:02, 21, 74, 41
00:14:03, 20, 78, 53
00:14:04, 8, 70, 38
00:14:05, 14, 64, 43
00:14:06, 24, 78, 57
00:14:07, 23, 74, 67
00:14:08, 38, 69, 70
00:14:09, 29, 63, 69
00:14:10, 38, 37, 50
00:14:11, 47, 43, 43
00:14:12, 41, 47, 53
00:14:13, 47, 40, 51
00:14:14, 48, 44, 57
00:14:15, 35, 40, 64
00:14:16, 34, 44, 61
00:14:17, 29, 54, 60
00:14:18, 26, 43, 74
00:14:19, 27, 38, 74
00:14:20, 41, 30, 57
00:14:21, 54, 37, 67
00:14:22, 61, 50, 54
00:14:23, 57, 64, 51
00:14:24, 51, 77, 64
00:14:25, 37, 81, 61
00:14:26, 37, 83, 61
00:14:27, 34, 80, 53
00:14:28, 37, 70, 63
00:14:29, 30, 67, 61
00:14:30, 37, 60, 63
00:14:31, 48, 60, 74
00:14:32, 54, 66, 67
00:14:33, 60, 61, 81
00:14:34, 35, 75, 88
00:14:35, 41, 66, 83
00:14:36, 27, 60, 74
00:14:37, 38, 41, 54
00:14:38, 44, 41, 47
00:14:39, 38, 41, 51
00:14:40, 48, 51, 50
00:14:41, 41, 48, 60
00:14:42, 41, 77, 77
00:14:43, 47, 74, 81
00:14:44, 48, 54, 88
00:14:45, 54, 60, 70
00:14:46, 61, 61, 60
00:14:47, 53, 69, 64
00:14:48, 61, 74, 53
00:14:49, 57, 67, 69
00:14:50, 54, 47, 70
00:14:51, 54, 44, 50
00:14:52, 44, 51, 61
00:14:53, 50, 51, 48
00:14:54, 41, 67, 37
00:14:55, 48, 53, 37
00:14:56, 50, 53, 40
00:14:57, 47, 63, 51
00:14:58, 60, 60, 56
00:14:59, 64, 57, 64
00:15:00, 50, 54, 56
00:15:01, 50, 43, 53
00:15:02, 51, 41, 67
00:15:03, 44, 43, 57
00:15:04, 54, 54, 64
00:15:05, 48, 60, 60
00:15:06, 37, 63, 53
00:15:07, 24, 56, 64
00:15:08, 35, 44, 60
00:15:09, 34, 61, 64
00:15:10, 44, 60, 67
00:15:11, 60, 63, 63
00:15:12, 57, 66, 54
00:15:13, 53, 50, 47
00:15:14, 44, 41, 34
00:15:15, 41, 41, 34
00:15:16, 34, 56, 43
00:15:17, 47, 51, 50
00:15:18, 56, 54, 64
00:15:19, 56, 70, 75
00:15:20, 48, 50, 74
00:15:21, 38, 50, 63
00:15:22, 30, 51, 53
